service_id,date,exception_type
"5487_613181","20241019","1"
"5487_613181","20241021","1"
"5487_613181","20241022","1"
"5487_613181","20241023","1"
"5487_613181","20241024","1"
"5487_613181","20241025","1"
"5487_613181","20241026","1"
"5487_613181","20241028","1"
"5487_613181","20241029","1"
"5487_613181","20241030","1"
"5487_613181","20241031","1"
"5487_613181","20241104","1"
"5487_613181","20241105","1"
"5487_613181","20241106","1"
"5487_613181","20241107","1"
"5487_613181","20241108","1"
"5487_613181","20241109","1"
"5487_613181","20241111","1"
"5487_613181","20241112","1"
"5487_613181","20241113","1"
"5487_613181","20241114","1"
"5487_613181","20241115","1"
"5487_613181","20241116","1"
"5487_613181","20241118","1"
"5487_613181","20241119","1"
"5487_613181","20241120","1"
"5487_613181","20241121","1"
"5487_613181","20241122","1"
"5487_613181","20241123","1"
"5487_613181","20241125","1"
"5487_613181","20241126","1"
"5487_613181","20241127","1"
"5487_613181","20241128","1"
"5487_613181","20241129","1"
"5487_613181","20241130","1"
"5487_613181","20241202","1"
"5487_613181","20241203","1"
"5487_613181","20241204","1"
"5487_613181","20241205","1"
"5487_613181","20241206","1"
"5487_613181","20241207","1"
"5487_613181","20241209","1"
"5487_613181","20241210","1"
"5487_613181","20241211","1"
"5487_613181","20241212","1"
"5487_613181","20241213","1"
"5487_613181","20241214","1"
"5487_613181","20241216","1"
"5487_613181","20241217","1"
"5487_613181","20241218","1"
"5487_613181","20241219","1"
"5487_613181","20241220","1"
"5487_613181","20241221","1"
"5487_613181","20241223","1"
"5487_613181","20241224","1"
"5487_613181","20241227","1"
"5487_613181","20241230","1"
"5487_613182","20241102","1"
"5487_613182","20241228","1"
"5487_613183","20241013","1"
"5487_613183","20241020","1"
"5487_613183","20241027","1"
"5487_613183","20241101","1"
"5487_613183","20241103","1"
"5487_613183","20241110","1"
"5487_613183","20241117","1"
"5487_613183","20241201","1"
"5487_613183","20241208","1"
"5487_613183","20241215","1"
"5487_613183","20241222","1"
"5487_613183","20241226","1"
"5487_613183","20241229","1"
"5487_613184","20241007","1"
"5487_613184","20241008","1"
"5487_613184","20241009","1"
"5487_613184","20241010","1"
"5487_613184","20241011","1"
"5487_613184","20241012","1"
"5487_613184","20241014","1"
"5487_613184","20241015","1"
"5487_613184","20241016","1"
"5487_613184","20241017","1"
"5487_613184","20241018","1"
"5487_613184","20241019","1"
"5487_613184","20241021","1"
"5487_613184","20241022","1"
"5487_613184","20241023","1"
"5487_613184","20241024","1"
"5487_613184","20241025","1"
"5487_613184","20241026","1"
"5487_613184","20241028","1"
"5487_613184","20241029","1"
"5487_613184","20241030","1"
"5487_613184","20241031","1"
"5487_613184","20241104","1"
"5487_613184","20241105","1"
"5487_613184","20241106","1"
"5487_613184","20241107","1"
"5487_613184","20241108","1"
"5487_613184","20241109","1"
"5487_613184","20241111","1"
"5487_613184","20241112","1"
"5487_613184","20241113","1"
"5487_613184","20241114","1"
"5487_613184","20241115","1"
"5487_613184","20241116","1"
"5487_613184","20241118","1"
"5487_613184","20241119","1"
"5487_613184","20241120","1"
"5487_613184","20241121","1"
"5487_613184","20241122","1"
"5487_613184","20241123","1"
"5487_613184","20241125","1"
"5487_613184","20241126","1"
"5487_613184","20241127","1"
"5487_613184","20241128","1"
"5487_613184","20241129","1"
"5487_613184","20241130","1"
"5487_613184","20241202","1"
"5487_613184","20241203","1"
"5487_613184","20241204","1"
"5487_613184","20241205","1"
"5487_613184","20241206","1"
"5487_613184","20241207","1"
"5487_613184","20241209","1"
"5487_613184","20241210","1"
"5487_613184","20241211","1"
"5487_613184","20241212","1"
"5487_613184","20241213","1"
"5487_613184","20241214","1"
"5487_613184","20241216","1"
